epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.6576370419682683,0.588454255381146,0.5469279599189758,0.7176385617256165
1,0.4354315339713483,0.8002584866575293,0.33236734330654144,0.8656810140609741
2,0.3018076089588371,0.8732886741290221,0.30674717664718626,0.8764887976646424
3,0.23087904441195564,0.9072120882369377,0.29902765452861785,0.8828419828414917
4,0.1851575087655235,0.9281754026541839,0.3110755056142807,0.8760583734512329
5,0.15873754195667603,0.9391023452217514,0.3044642734527588,0.8805247640609741
6,0.13293811573168715,0.9499237134649947,0.3576305341720581,0.8871904492378235
7,0.10879135086528353,0.9592670411676973,0.36633762121200564,0.8816833734512329
8,0.09738738341508685,0.96476371707143,0.3750724631547928,0.8749646234512329
9,0.08016128347230118,0.970636714954634,0.4906554138660431,0.8715919828414918
